date,type,value
2020-02-21,PRCP,0.0
2020-02-21,SNWD,20.0
2020-02-22,SNOW,0.0
2020-02-22,TMAX,5.6
2020-02-22,TMIN,-7.7
2020-02-22,PRCP,0.0
2020-02-22,SNWD,20.0
2020-02-23,SNOW,0.0
2020-02-23,TMAX,6.7
2020-02-23,TMIN,-2.7
2020-02-23,PRCP,0.0
2020-02-23,SNWD,18.0
2020-02-24,SNOW,0.0
2020-02-24,TMAX,5.6
2020-02-24,TMIN,-4.9
2020-02-24,PRCP,0.0
2020-02-24,SNWD,13.0
2020-02-25,SNOW,0.0
2020-02-25,TMAX,3.3
2020-02-25,TMIN,-2.1
2020-02-25,PRCP,0.0
2020-02-25,SNWD,10.0
2020-02-26,SNOW,0.0
2020-02-26,TMAX,-0.5
2020-02-26,TMIN,-7.1
2020-02-26,PRCP,0.0
2020-02-26,SNWD,10.0
2020-02-27,SNOW,0.0
2020-02-27,TMAX,-3.8
2020-02-27,TMIN,-9.3
2020-02-27,PRCP,0.0
2020-02-27,SNWD,10.0
2020-02-28,SNOW,0.0
2020-02-28,TMAX,-2.1
2020-02-28,TMIN,-8.2
2020-02-28,PRCP,0.0
2020-02-28,SNWD,10.0
2020-02-29,SNOW,0.0
2020-02-29,TMAX,3.9
2020-02-29,TMIN,-8.8
2020-02-29,PRCP,0.0
2020-02-29,SNWD,10.0
2020-03-01,SNOW,0.0
2020-03-01,TMAX,10.0
2020-03-01,TMIN,0.0
2020-03-01,PRCP,0.0
2020-03-01,SNWD,10.0
2020-03-02,SNOW,0.0
2020-03-02,TMAX,2.2
2020-03-02,TMIN,-1.0
2020-03-02,PRCP,0.0
2020-03-02,SNWD,8.0
2020-03-03,SNOW,0.0
2020-03-03,TMAX,6.1
2020-03-03,TMIN,-1.0
2020-03-03,PRCP,0.0
2020-03-03,SNWD,3.0
2020-03-04,SNOW,0.0
2020-03-04,TMAX,5.6
2020-03-04,TMIN,-4.3
2020-03-04,PRCP,0.0
2020-03-04,SNWD,0.0
2020-03-05,SNOW,0.0
2020-03-05,TMAX,6.7
2020-03-05,TMIN,-1.0
2020-03-05,PRCP,0.0
2020-03-05,SNWD,0.0
2020-03-06,SNOW,0.0
2020-03-06,TMAX,3.9
2020-03-06,TMIN,-4.9
2020-03-06,PRCP,0.0
2020-03-06,SNWD,0.0
2020-03-07,SNOW,0.0
2020-03-07,TMAX,11.7
2020-03-07,TMIN,0.0
2020-03-07,PRCP,0.0
2020-03-07,SNWD,0.0
2020-03-08,SNOW,0.0
2020-03-08,TMAX,16.1
2020-03-08,TMIN,6.7
2020-03-08,PRCP,0.0
2020-03-08,SNWD,0.0
2020-03-09,SNOW,0.0
2020-03-09,TMAX,8.9
2020-03-09,TMIN,-1.0
2020-03-09,PRCP,0.0
2020-03-09,SNWD,0.0
2020-03-10,SNOW,0.8
2020-03-10,TMAX,5.6
2020-03-10,TMIN,-4.9
2020-03-10,PRCP,1.0
2020-03-10,SNWD,0.0
2020-03-11,SNOW,0.0
2020-03-11,TMAX,6.1
2020-03-11,TMIN,1.1
2020-03-11,PRCP,0.0
2020-03-11,SNWD,0.0
2020-03-12,SNOW,0.0
2020-03-12,TMAX,6.1
2020-03-12,TMIN,-0.5
2020-03-12,PRCP,2.3
2020-03-12,SNWD,0.0
2020-03-13,SNOW,0.0
2020-03-13,TMAX,3.9
2020-03-13,TMIN,-3.2
2020-03-13,PRCP,0.0
2020-03-13,SNWD,0.0
2020-03-14,SNOW,0.0
2020-03-14,TMAX,1.7
2020-03-14,TMIN,-4.9
2020-03-14,PRCP,0.0
2020-03-14,SNWD,0.0
2020-03-15,SNOW,0.0
2020-03-15,TMAX,4.4
2020-03-15,TMIN,-6.0
2020-03-15,PRCP,0.0
2020-03-15,SNWD,0.0
2020-03-16,SNOW,0.0
2020-03-16,TMAX,3.9
2020-03-16,TMIN,-2.7
2020-03-16,PRCP,0.3
